-72.6192,-18.3732,310.6669
-72.5015,-18.4895,312.4698
-72.3837,-18.6058,314.2727
-72.2660,-18.7220,316.0757
-72.2010,-18.7940,316.4954
-72.1360,-18.8660,316.9150
-72.0710,-18.9380,317.3347
-72.0060,-19.0100,317.7543
-71.9410,-19.0820,318.1740
-71.8760,-19.1540,318.5937
-71.8110,-19.2260,319.0134
-71.7460,-19.2980,319.4330
-71.6813,-19.4262,323.2031
-71.6165,-19.5545,326.9732
-71.5517,-19.6827,330.7433
-71.4870,-19.8110,334.5134
-71.4557,-19.9205,337.1273
-71.4245,-20.0300,339.7413
-71.3932,-20.1395,342.3552
